strains,S10,RA5,TE30,CB100,E15,VA30,CIP,C30
But001,0,1.3,3.4,2.1,1.1,0,2.8,2.4
But001,0,1.2,3.5,1.9,1,0,3,2.5
But001,0,1.3,3.3,2.1,1,0,2.9,2.5
But002,0,1.2,2.3,2.7,0.8,0,3,0.8
But002,0,1.2,2.2,2.5,0.7,0,3.1,1
But002,0,1.3,2.3,2.4,0.6,0,3,1
CC001,0,1.4,3,2,1.2,0,3,1
CC001,0,1.3,2.9,2.2,1.2,0,3.1,1
CC001,0,1.3,3.2,2.1,1.3,0,3.2,0.9
CL001,0,1.2,3.1,2.1,1.1,0,3.1,1.1
CL001,0,1.3,3.2,2.2,1.3,0,3,1.1
CL001,0,1.3,3,2.2,1,0,3,1
Gle001,0,1.1,2.4,2.1,0.8,0,2.7,1
Gle001,0,1.2,2.2,2.1,1,0,2.6,1
Gle001,0,1.2,2.5,1.8,1,0,2.7,1.1
Gle002,0,1.4,2.8,2.2,0.9,0,3.6,1
Gle002,0,1.3,2.6,2.2,1,0,3.5,1
Gle002,0,1.2,2.7,2.1,1,0,3.7,1
Kin001,0,1.5,2.8,2.1,1,0,3.3,1.2
Kin001,0,1.5,3.2,1.9,0.9,0,3.6,1.1
Kin001,0,1.3,3.2,2,0.9,0,3.3,1.1
Kin002,0,1.3,3.5,1.6,0.7,0,2,0
Kin002,0,1.2,3.4,1.8,0.8,0,1.9,0
Kin002,0,1.2,3.2,1.7,0.8,0,1.8,0
Kin003,0,1.5,3,2,1.1,0.6,2.6,0.7
Kin003,0,1.6,2.8,2,1,0.6,2.7,0.7
Kin003,0,1.5,3.1,1.9,1.2,0.6,2.6,0.7
Sut001,0,1.1,2.2,2.2,0.9,0,3.2,1
Sut001,0,1.2,2.3,2.1,0.9,0,3.3,1
Sut001,0,1.2,2.3,1.8,0.9,0,3.2,0.9
SJ001,0,1.25,2.5,2,1,0,3.3,1.1
SJ001,0,1.3,2.45,2.1,1.2,0,3,1
SJ001,0,1.2,2.4,1.98,1,0,2.8,1.1
SJ002,0,1.28,2.5,1.92,1,0,3.35,1.1
SJ002,0,1.35,2.49,2,1,0,3.45,1
SJ002,0,1.32,2.5,1.9,0.9,0,3.5,1.1
SJ003,0,1.3,2.7,1.9,1.2,0,2.7,0.8
SJ003,0,1.2,3,1.9,1.2,0,2.7,0.8
SJ003,0,1.3,3.1,1.85,1.2,0,2.71,1
Sta001,0,1.2,2.2,1.6,0.8,0,3,1
Sta001,0,1.2,2.3,1.8,0.9,0,3.3,1.1
Sta001,0,1.2,2.2,2.2,0.9,0,3.3,1.1
Sta002,0,1.5,2.4,2.1,1.1,0,2.8,1
Sta002,0,1.4,2.4,2.2,1.1,0,2.9,1
Sta002,0,1.4,2.6,2.3,1.1,0,2.8,1.1
Sta003,0,0,3,2.6,1,0,3.1,0.7
Sta003,0,0,2.7,2.6,1,0,3,1
Sta003,0,0,2.8,2.8,1,0,3.2,0.8
Sta004,0,1.2,3.2,2.3,1.1,0,3,2
Sta004,0,1.1,3.4,2.2,1.2,0,3.1,2.2
Sta004,0,1.1,3.4,2.2,1.2,0,3,2.4
Sta005,0,1.2,3,3,0.8,0,3.5,1
Sta005,0,1.2,3.1,3.2,0.9,0,3.3,1
Sta005,0,1.1,3,3.2,0.9,0,3.5,0.9
C58,0,1.5,3.6,3.5,1.5,0,3.7,1.4
C58,0,1.6,3.7,3.4,1.5,0,3.8,1.6
C58,0,1.7,3.6,3.3,1.3,0,4,1.5
Sut002,0,1.3,2.4,1.8,1.5,0,3.2,0.8
Sut002,0,1.5,2.6,2.1,1.2,0,3,1
Sut002,0,1.3,2.5,2,1,0,3,1
Tul001,0,1.3,2.6,2.3,1.2,0,3.5,1.1
Tul001,0,1.4,2.5,2.2,1,0,3.3,0.8
Tul001,0,1.2,2.4,2.3,1.1,0,3.5,0.9
Tul002,0,1.6,3,1.7,1.5,0,2.6,1.7
Tul002,0,1.5,3,1.6,1.3,0,2.7,2
Tul002,0,1.5,3.1,1.7,1.3,0,2.4,2
Tul003,0,1.2,3.1,2,1,0,3.5,0.7
Tul003,0,1.3,3,2.2,1.1,0,3.4,0.7
Tul003,0,1.2,3.2,2,0.8,0,3.6,0.8
Tul004,0,1.3,2.5,2.1,1,0,3.6,0.7
Tul004,0,1.2,2.4,1.9,1.1,0,3.5,0.8
Tul004,0,1.2,2.4,2,1.1,0,3.5,0.8
Teh001,0,1.2,2.6,2.3,1,0,2.9,0.8
Teh001,0,1.2,2.7,2.6,1.2,0,3.1,0.9
Teh001,0,1.3,2.5,2.2,1,0,3.3,0.7
Teh002,0,1.3,2.7,2.2,1.1,0,3.1,1
Teh002,0,1.4,2.5,2.3,1.1,0,3.3,0.9
Teh002,0,1.3,2.7,2.3,1.2,0,3,0.9
Yol001,0,1.2,2.7,2.2,1.1,0,3.6,1.1
Yol001,0,1.3,2.8,2.3,0.9,0,3.8,1
Yol001,0,1.3,2.6,2.2,1,0,3.5,1
Yol002,0,1.3,3,2.3,1.1,0,3.6,1
Yol002,0,1.4,2.8,2.3,1,0,3.3,1
Yol002,0,1.3,2.8,2.2,1.1,0,3.6,1.1
Yub001,1,1.4,3.8,0,2.1,0,3.7,1.1
Yub001,1,1.4,3.7,0,1.9,0,3.7,1.1
Yub001,1,1.4,3.6,0,2,0,3.6,1.1
Yub002,0,1.5,3.3,2.1,1,0,3,1.2
Yub002,0,1.5,3.2,2.1,1.1,0,3,1.2
Yub002,0,1.5,3.3,2.2,1.1,0,3,1.1