strains,cb100_D
But001,2.1
But001,1.9
But001,2.1
But002,2.7
But002,2.5
But002,2.4
CC001,2
CC001,2.2
CC001,2.1
CL001,2.1
CL001,2.2
CL001,2.2
Gle001,2.1
Gle001,2.1
Gle001,1.8
Gle002,2.2
Gle002,2.2
Gle002,2.1
Kin001,2.1
Kin001,1.9
Kin001,2
Kin002,1.6
Kin002,1.8
Kin002,1.7
Kin003,2
Kin003,2
Kin003,1.9
Sut001,2.2
Sut001,2.1
Sut001,1.8
SJ001,2
SJ001,2.1
SJ001,1.98
SJ002,1.92
SJ002,2
SJ002,1.9
SJ003,1.9
SJ003,1.9
SJ003,1.85
Sta001,1.6
Sta001,1.8
Sta001,2.2
Sta002,2.1
Sta002,2.2
Sta002,2.3
Sta003,2.6
Sta003,2.6
Sta003,2.8
Sta004,2.3
Sta004,2.2
Sta004,2.2
Sta005,3
Sta005,3.2
Sta005,3.2
C58,3.5
C58,3.4
C58,3.3
Sut002,1.8
Sut002,2.1
Sut002,2
Tul001,2.3
Tul001,2.2
Tul001,2.3
Tul002,1.7
Tul002,1.6
Tul002,1.7
Tul003,2
Tul003,2.2
Tul003,2
Tul004,2.1
Tul004,1.9
Tul004,2
Teh001,2.3
Teh001,2.6
Teh001,2.2
Teh002,2.2
Teh002,2.3
Teh002,2.3
Yol001,2.2
Yol001,2.3
Yol001,2.2
Yol002,2.3
Yol002,2.3
Yol002,2.2
Yub001,0
Yub001,0
Yub001,0
Yub002,2.1
Yub002,2.1
Yub002,2.2