strains,e15_D
But001,1.1
But001,1
But001,1
But002,0.8
But002,0.7
But002,0.6
CC001,1.2
CC001,1.2
CC001,1.3
CL001,1.1
CL001,1.3
CL001,1
Gle001,0.8
Gle001,1
Gle001,1
Gle002,0.9
Gle002,1
Gle002,1
Kin001,1
Kin001,0.9
Kin001,0.9
Kin002,0.7
Kin002,0.8
Kin002,0.8
Kin003,1.1
Kin003,1
Kin003,1.2
Sut001,0.9
Sut001,0.9
Sut001,0.9
SJ001,1
SJ001,1.2
SJ001,1
SJ002,1
SJ002,1
SJ002,0.9
SJ003,1.2
SJ003,1.2
SJ003,1.2
Sta001,0.8
Sta001,0.9
Sta001,0.9
Sta002,1.1
Sta002,1.1
Sta002,1.1
Sta003,1
Sta003,1
Sta003,1
Sta004,1.1
Sta004,1.2
Sta004,1.2
Sta005,0.8
Sta005,0.9
Sta005,0.9
C58,1.5
C58,1.5
C58,1.3
Sut002,1.5
Sut002,1.2
Sut002,1
Tul001,1.2
Tul001,1
Tul001,1.1
Tul002,1.5
Tul002,1.3
Tul002,1.3
Tul003,1
Tul003,1.1
Tul003,0.8
Tul004,1
Tul004,1.1
Tul004,1.1
Teh001,1
Teh001,1.2
Teh001,1
Teh002,1.1
Teh002,1.1
Teh002,1.2
Yol001,1.1
Yol001,0.9
Yol001,1
Yol002,1.1
Yol002,1
Yol002,1.1
Yub001,2.1
Yub001,1.9
Yub001,2
Yub002,1
Yub002,1.1
Yub002,1.1