strains,mot_48h
But001,3.32
But001,3.31
But001,3.36
But002,3.5
But002,3.48
But002,3.51
CC001,3.71
CC001,3.7
CC001,3.65
CL001,3.2
CL001,3.18
CL001,3.15
Gle001,3.61
Gle001,3.62
Gle001,3.63
Gle002,3.48
Gle002,3.49
Gle002,3.5
Kin001,3.51
Kin001,3.49
Kin001,3.51
Kin002,3.29
Kin002,3.27
Kin002,3.23
Kin003,3.61
Kin003,3.53
Kin003,3.62
Sut001,3.52
Sut001,3.5
Sut001,3.51
SJ001,3.9
SJ001,3.88
SJ001,3.85
SJ002,3.81
SJ002,3.8
SJ002,3.81
SJ003,4.2
SJ003,4.18
SJ003,4.2
Sta001,3.72
Sta001,3.71
Sta001,3.83
Sta002,3.76
Sta002,3.8
Sta002,3.73
Sta003,3.72
Sta003,3.72
Sta003,3.68
Sta004,4.13
Sta004,4.12
Sta004,4.08
Sta005,3.65
Sta005,3.62
Sta005,3.61
C58,3.7
C58,3.58
C58,3.5
Sut002,3.71
Sut002,3.72
Sut002,3.7
Tul001,3.72
Tul001,3.35
Tul001,3.46
Tul002,3.43
Tul002,3.4
Tul002,3.5
Tul003,3.51
Tul003,3.31
Tul003,3.35
Tul004,3.79
Tul004,3.72
Tul004,3.73
Teh001,3.51
Teh001,3.49
Teh001,3.5
Teh002,3.46
Teh002,3.5
Teh002,3.43
Yol001,3.82
Yol001,3.91
Yol001,3.81
Yol002,4.1
Yol002,4.2
Yol002,3.9
Yub001,4.42
Yub001,4.45
Yub001,4.5
Yub002,3.52
Yub002,3.1
Yub002,3.2